"","x"
"1056","Robert Wolf"
"1057","Roberto Setubal"
"1058","Robin Hayes"
"1059","Rockefeller Group"
"1060","Roger Ailes"
"1061","Roger Dow"
"1062","Roger Ferguson"
"1063","Ron Bernstein"
"1064","Ron Johnson"
"1065","Ron Johnsona"
"1066","Ron Johnsons"
"1067","Ron Sargent"
"1068","Ronald Williams"
"1069","Rosalind Brewer"
"1070","Ross Levinsohn"
"1071","Ross Levinsohns"
"1072","Ross Mc"
"1073","Ross McEwan"
"1074","Ross Norman"
"1075","Rothblatt"
"1076","Ruben Sprich"
"1077","Rubin"
"1078","Rudin Management"
"1079","Rupert Murdoch"
"1080","Rupert Stadler"
"1081","Rusdi Kirana"
"1082","Russ Girling"
"1083","Rust"
"1084","Ryan Safady"
"1085","Safra Catz"
"1086","Sally Smith"
"1087","Sam Palmisano"
"1088","Samantha Shih"
"1089","Sandy Weill"
"1090","Sandy Weills"
"1091","Sanford"
"1092","Sarah Lacy"
"1093","Satay Nadella"
"1094","Satoru Iwata"
"1095","Satya Nadella"
"1096","Satya Nadellaa"
"1097","Says Germany"
"1098","Says Outerwear"
"1099","Scharf"
"1100","Schiff"
"1101","Schleifer"
"1102","Schultz"
"1103","Schwartz"
"1104","Scott Cook"
"1105","Scott Davis"
"1106","Scott Dietzen"
"1107","Scott Dittman"
"1108","Scott Farquhar"
"1109","Scott Heiferman"
"1110","Scott Kapnick"
"1111","Scott Moore"
"1112","Scott Schuberg"
"1113","Scott Thompson"
"1114","Scott Thomson"
"1115","Sean Combs"
"1116","Sean Connolly"
"1117","Sean McCartyh"
"1118","Secretary Treasurer"
"1119","Sergio Ermotti"
"1120","Sergio Machionne"
"1121","Sergio Marchionne"
"1122","Sergio Marchionnea"
"1123","Severin Schwan"
"1124","Shane Robison"
"1125","Shawn Hardin"
"1126","Shehzad Haider"
"1127","Sheng Fu"
"1128","Sherwood Equities"
"1129","Shigeki Ishizuka"
"1130","Shirl Penney"
"1131","Simon"
"1132","Sinegal"
"1133","Sir Martin"
"1134","Sir Martin Sorrell"
"1135","Skiddy Stade"
"1136","Skiddy von Stade"
"1137","Smith"
"1138","Sony Pictures"
"1139","Sorenson"
"1140","Spencer Rascoff"
"1141","Spencer Rascoffs"
"1142","Sprecher"
"1143","Stack"
"1144","Stephan Winkelmann"
"1145","Stephan Winkelmanna"
"1146","Stephane Richard"
"1147","Stephen A. Schwarzman"
"1148","Stephen Blyth"
